시장,업종구분,종목명,종목코드,시가총액,유통비율,업종코드
K,증권,키움증권,039490,47730 ,52,024
K,일반서비스,AJ네트웍스,095570,1760 ,43,026
K,금융,AK홀딩스,006840,1517 ,33,021
K,금융,BGF,027410,4087 ,30,021
K,유통,BGF리테일,282330,19669 ,47,016
K,금융,BNK금융지주,138930,37888 ,84,021
K,섬유/의류,BYC,001460,2355 ,28,006
K,섬유/의류,BYC우,001465,385 ,,006
K,금융,CJ,001040,42598 ,45,021
K,오락/문화,CJ CGV,079160,8627 ,44,030
K,금융,CJ4우(전환),00104K,5059 ,,021
K,운송/창고,CJ대한통운,000120,19413 ,47,019
K,음식료/담배,CJ씨푸드,011150,1074 ,53,005
K,음식료/담배,CJ씨푸드1우,011155,36 ,,005
K,금융,CJ우,001045,1853 ,,021
K,음식료/담배,CJ제일제당,097950,36055 ,51,005
K,음식료/담배,CJ제일제당 우,097955,1908 ,,005
K,비금속,CR홀딩스,000480,2574 ,13,010
K,금융,CS홀딩스,000590,1067 ,15,021
K,IT 서비스,DB,012030,2877 ,51,029
K,보험,DB손해보험,005830,79933 ,61,025
K,증권,DB증권,016610,3404 ,59,024
K,전기/전자,DB하이텍,000990,19558 ,66,013
K,운송장비/부품,DH오토넥스,000300,1629 ,33,015
K,유통,DI동일,001530,7666 ,72,016
K,기계/장비,DKME,015590,1220 ,77,012
K,화학,DL,000210,9283 ,50,008
K,화학,DL우,000215,389 ,,008
K,건설,DL이앤씨,375500,18612 ,74,018
K,건설,DL이앤씨2우(전환),37550L,666 ,,018
K,건설,DL이앤씨우,37550K,456 ,,018
K,전기/전자,DN오토모티브,007340,12638 ,36,013
K,화학,DRB동일,004840,995 ,27,008
K,금속,DSR,155660,637 ,37,011
K,금속,DSR제강,069730,533 ,48,011
K,화학,DS단석,017860,4598 ,60,008
K,운송장비/부품,DYP,092780,597 ,39,015
K,유통,E1,017940,5255 ,38,016
K,부동산,ESR켄달스퀘어리츠,365550,9205 ,,028
K,섬유/의류,F&F,383220,28577 ,35,006
K,금융,F&F홀딩스,007700,6767 ,8,021
K,오락/문화,GKL,114090,9285 ,49,030
K,금융,GS,078930,44088 ,46,021
K,건설,GS건설,006360,19684 ,75,018
K,유통,GS글로벌,001250,2216 ,49,016
K,유통,GS리테일,007070,13620 ,41,016
K,금융,GS우,078935,753 ,,021
K,금융,GS피앤엘,499790,6306 ,41,021
K,금융,HDC,012630,12576 ,41,021
K,건설,HDC랩스,039570,2365 ,25,018
K,화학,HDC현대EP,089470,1263 ,32,008
K,건설,HDC현대산업개발,294870,16675 ,53,018
K,금융,HD한국조선해양,009540,248060 ,63,021
K,금융,HD현대,267250,96293 ,52,021
K,기계/장비,HD현대건설기계,267270,12240 ,57,012
K,일반서비스,HD현대마린솔루션,443060,89569 ,31,026
K,기계/장비,HD현대마린엔진,071970,15604 ,64,012
K,운송장비/부품,HD현대미포,010620,73494 ,57,015
K,전기/전자,HD현대에너지솔루션,322000,5398 ,45,013
K,기계/장비,HD현대인프라코어,042670,19548 ,63,012
K,전기/전자,HD현대일렉트릭,267260,155003 ,60,013
K,운송장비/부품,HD현대중공업,329180,379505 ,25,015
K,건설,HJ중공업,097230,6104 ,37,018
K,건설,HL D&I,014790,1028 ,51,018
K,유통,HLB글로벌,003580,1525 ,94,016
K,운송장비/부품,HL만도,204320,15543 ,68,015
K,금융,HL홀딩스,060980,3762 ,62,021
K,운송/창고,HMM,011200,248060 ,64,019
K,일반서비스,HS애드,035000,1284 ,62,026
K,건설,HS화성,002460,1097 ,67,018
K,금융,HS효성,487570,2291 ,41,021
K,화학,HS효성첨단소재,298050,8687 ,52,008
K,오락/문화,IHQ,003560,762 ,52,030
K,금융,iM금융지주,139130,19202 ,84,021
K,일반서비스,INVENI,015360,3222 ,30,026
K,금융,JB금융지주,175330,38782 ,81,021
K,제약,JW생명과학,234080,1924 ,54,009
K,제약,JW중외제약,001060,5449 ,54,009
K,제약,JW중외제약2우B,001067,137 ,,009
K,제약,JW중외제약우,001065,103 ,,009
K,금융,JW홀딩스,096760,3060 ,42,021
K,금융,KB금융,105560,404350 ,79,021
K,금융,KB발해인프라,415640,9938 ,,021
K,부동산,KB스타리츠,432320,3981 ,,028
K,화학,KCC,002380,27992 ,47,008
K,비금속,KCC글라스,344820,5103 ,56,010
K,운송/창고,KCTC,009070,1242 ,76,019
K,금융,KC그린홀딩스,009440,176 ,60,021
K,기계/장비,KC코트렐,119650,1008 ,99,012
K,전기/전자,KEC,092220,1606 ,68,013
K,운송장비/부품,KG모빌리티,003620,6861 ,45,015
K,금속,KG스틸,016380,6241 ,38,011
K,화학,KG케미칼,001390,3095 ,47,008
K,전기/전자,KH 필룩스,033180,1382 ,53,013
K,금속,KISCO홀딩스,001940,3686 ,33,011
K,화학,KPX케미칼,025000,2311 ,33,008
K,화학,KPX홀딩스,092230,2843 ,18,008
K,운송장비/부품,KR모터스,000040,265 ,52,015
K,운송/창고,KSS해운,044450,2316 ,55,019
K,통신,KT,030200,130043 ,59,020
K,음식료/담배,KT&G,033780,150381 ,76,005
K,IT 서비스,KTcs,058850,1214 ,58,029
K,IT 서비스,KTis,058860,1018 ,58,029
K,섬유/의류,LF,093050,5079 ,37,006
K,금융,LG,003550,117624 ,54,021
K,전기/전자,LG디스플레이,034220,44200 ,55,013
K,화학,LG생활건강,051900,52243 ,59,008
K,화학,LG생활건강우,051905,2864 ,,008
K,IT 서비스,LG씨엔에스,064400,61910 ,28,029
K,전기/전자,LG에너지솔루션,373220,692640 ,17,013
K,금융,LG우,003555,1837 ,,021
K,통신,LG유플러스,032640,57283 ,60,020
K,전기/전자,LG이노텍,011070,34152 ,59,013
K,전기/전자,LG전자,066570,118154 ,64,013
K,전기/전자,LG전자우,066575,6256 ,,013
K,오락/문화,LG헬로비전,037560,2048 ,40,030
K,화학,LG화학,051910,147185 ,65,008
K,화학,LG화학우,051915,8212 ,,008
K,금속,LIG넥스원,079550,115720 ,60,011
K,금융,LS,006260,55674 ,52,021
K,전기/전자,LS ELECTRIC,010120,77400 ,50,013
K,유통,LS네트웍스,000680,2935 ,18,016
K,금융,LS에코에너지,229640,10443 ,29,021
K,전기/전자,LX세미콘,108320,9759 ,66,013
K,유통,LX인터내셔널,001120,11260 ,66,016
K,화학,LX하우시스,108670,2879 ,66,008
K,화학,LX하우시스우,108675,192 ,,008
K,금융,LX홀딩스,383800,6911 ,56,021
K,금융,LX홀딩스1우,38380K,132 ,,021
K,음식료/담배,MH에탄올,023150,390 ,43,005
K,IT 서비스,NAVER,035420,317666 ,85,029
K,IT 서비스,NHN,181710,9640 ,37,029
K,부동산,NH올원리츠,400760,1547 ,,028
K,증권,NH투자증권,005940,59178 ,39,024
K,증권,NH투자증권우,005945,2999 ,,024
K,부동산,NH프라임리츠,338100,835 ,,028
K,일반서비스,NICE,034310,4545 ,43,026
K,IT 서비스,NICE평가정보,030190,8492 ,53,029
K,금속,NI스틸,008260,1083 ,39,011
K,화학,NPC,004250,1678 ,31,008
K,화학,NPC우,004255,138 ,,008
K,화학,OCI,456040,5112 ,53,008
K,금융,OCI홀딩스,010060,14582 ,68,021
K,화학,PI첨단소재,178920,5227 ,45,008
K,화학,PKC,001340,2502 ,55,008
K,금속,POSCO홀딩스,005490,213663 ,81,011
K,화학,S-Oil,010950,71715 ,36,008
K,화학,S-Oil우,010955,1661 ,,008
K,오락/문화,SBS,034120,5074 ,63,030
K,화학,SB성보,003080,539 ,49,008
K,전기/가스,SGC에너지,005090,3602 ,45,017
K,운송장비/부품,SG글로벌,001380,794 ,41,015
K,유통,SG세계물산,004060,680 ,47,016
K,금속,SHD,001770,217 ,49,011
K,화학,SH에너지화학,002360,579 ,66,008
K,금속,SIMPAC,009160,3258 ,22,011
K,운송장비/부품,SJG세종,033530,1260 ,53,015
K,운송장비/부품,SJM,123700,533 ,47,015
K,유통,SJM홀딩스,025530,556 ,29,016
K,금융,SK,034730,138190 ,49,021
K,화학,SKC,011790,34801 ,49,008
K,유통,SK가스,018670,20478 ,24,016
K,유통,SK네트웍스,001740,9570 ,42,016
K,금융,SK디스커버리,006120,9578 ,43,021
K,금융,SK디스커버리우,006125,532 ,,021
K,부동산,SK디앤디,210980,1858 ,37,028
K,부동산,SK리츠,395400,12746 ,,028
K,제약,SK바이오사이언스,302440,35149 ,31,009
K,일반서비스,SK바이오팜,326030,70717 ,35,026
K,금융,SK스퀘어,402340,183967 ,67,021
K,전기/전자,SK아이이테크놀로지,361610,16256 ,37,013
K,금속,SK오션플랜트,100090,12046 ,62,011
K,금융,SK우,03473K,897 ,,021
K,화학,SK이노베이션,096770,139858 ,37,008
K,화학,SK이노베이션우,096775,818 ,,008
K,건설,SK이터닉스,475150,7679 ,46,018
K,증권,SK증권,001510,3025 ,67,024
K,증권,SK증권우,001515,87 ,,024
K,화학,SK케미칼,285130,10231 ,57,008
K,화학,SK케미칼우,28513K,566 ,,008
K,통신,SK텔레콤,017670,117275 ,60,020
K,전기/전자,SK하이닉스,000660,1714446 ,74,013
K,운송장비/부품,SNT다이내믹스,003570,18189 ,25,015
K,운송장비/부품,SNT모티브,064960,7856 ,43,015
K,기계/장비,SNT에너지,100840,8676 ,30,012
K,금융,SNT홀딩스,036530,8869 ,24,021
K,음식료/담배,SPC삼립,005610,4815 ,20,005
K,유통,STX,011810,1104 ,61,016
K,운송/창고,STX그린로지스,465770,824 ,53,019
K,기계/장비,STX엔진,077970,9896 ,29,012
K,종이/목재,SUN&L,002820,369 ,48,007
K,섬유/의류,TBH글로벌,084870,261 ,49,006
K,금속,TCC스틸,002710,4299 ,69,011
K,화학,TKG휴켐스,069260,6622 ,50,008
K,섬유/의류,TP,007980,792 ,58,006
K,기계/장비,TYM,002900,2271 ,58,012
K,화학,WISCOM,024070,313 ,47,008
K,IT 서비스,YG PLUS,037270,4155 ,66,029
K,전기/전자,가온전선,000500,10902 ,18,013
K,화학,강남제비스코,000860,1651 ,49,008
K,오락/문화,강원랜드,035250,37183 ,57,030
K,오락/문화,갤럭시아에스엠,011420,711 ,58,030
K,화학,경농,002100,1980 ,23,008
K,전기/전자,경동나비엔,009450,10285 ,41,013
K,전기/가스,경동도시가스,267290,1171 ,48,017
K,금융,경동인베스트,012320,1488 ,39,021
K,유통,경방,000050,2262 ,33,016
K,제약,경보제약,214390,1210 ,38,009
K,화학,경인양행,012610,1444 ,64,008
K,전기/전자,경인전자,009140,319 ,32,013
K,건설,계룡건설,013580,1871 ,60,018
K,기계/장비,계양전기,012200,393 ,54,012
K,기계/장비,계양전기우,012205,42 ,,012
K,음식료/담배,고려산업,002140,777 ,51,005
K,금속,고려아연,010130,163142 ,46,011
K,금속,고려제강,002240,4955 ,32,011
K,제약,광동제약,009290,3009 ,56,009
K,전기/전자,광명전기,017040,886 ,85,013
K,전기/전자,광전자,017900,1128 ,33,013
K,유통,광주신세계,037710,2304 ,33,016
K,증권,교보증권,030610,9242 ,14,024
K,유통,교촌에프앤비,339770,2668 ,29,016
K,화학,국도화학,007690,3200 ,57,008
K,운송/창고,국보,001140,335 ,72,019
K,제약,국제약품,002720,1008 ,58,009
K,화학,그린케미칼,083420,2105 ,37,008
K,화학,극동유화,014530,1409 ,55,008
K,금속,금강공업,014280,1337 ,52,011
K,금속,금강공업우,014285,41 ,,011
K,비금속,금비,008870,591 ,24,010
K,화학,금양,001570,6333 ,73,008
K,건설,금호건설,002990,1228 ,49,018
K,건설,금호건설우,002995,35 ,,018
K,화학,금호석유화학,011780,30984 ,57,008
K,화학,금호석유화학우,011785,1720 ,,008
K,운송장비/부품,금호에이치티,214330,1399 ,55,015
K,전기/전자,금호전기,001210,692 ,63,013
K,화학,금호타이어,073240,12568 ,35,008
K,기계/장비,기신정기,092440,745 ,28,012
K,운송장비/부품,기아,000270,386538 ,59,015
K,은행,기업은행,024110,135243 ,31,#N/A
K,건설,까뮤이앤씨,013700,667 ,46,018
K,종이/목재,깨끗한나라,004540,804 ,60,007
K,종이/목재,깨끗한나라우,004545,43 ,,007
K,건설,남광토건,001260,1088 ,37,018
K,금속,남선알미늄,008350,1613 ,69,011
K,금속,남선알미우,008355,40 ,,011
K,유통,남성,004270,395 ,49,016
